Location,Average Household Income Before Taxes,Median Household Income Before Taxes,Average Household Income After Taxes,Median Household Income After Taxes
Ambleside,105700,62400,85600,57600
Anmore/Belcarra/Metro Vancouver North,211600,152000,161400,128000
Capital Hill/Brentwood,108200,87000,91300,76500
Cedar Cottage,112700,91000,95100,81000
Central Lonsdale,82400,70000,69100,61200
Central Park,89000,72000,76800,64500
Cloverdale/Fleetwood,124100,110000,106600,97000
Collingwood,93100,78500,81400,70000
Coquitlam East,115700,96000,97500,85000
Coquitlam West,111600,90000,94700,79500
Deer Lake,133600,106000,111500,95000
Downtown,89800,78000,76700,69000
Downtown Central,89100,65000,72500,57600
Downtown Eastside/Strathcona,69000,41600,58100,38800
Downtown North,115400,86000,91100,74500
Dundrave/West Vancouver Remainder,222000,115000,151800,97000
Edmonds,88000,74000,77000,67000
English Bay,79700,65000,67200,57200
Fraser View/Killarny,104200,87000,90200,78000
Guildford,110100,92000,95200,82000
Hastings/Sunrise/Grandview/Woodlands,101900,78000,85900,69500
Kerrisdale,120000,73500,91600,64000
Kitsilano/Point Grey North,124200,84000,96100,73000
Kitsilano/Point Grey South,135600,92000,106700,80000
Ladner,123500,103000,103200,91000
Langley CY,89400,76500,77800,68500
Langley DM,129600,108000,108000,94000
Lonsdale East,139600,104000,108700,91000
Lonsdale North,97600,73500,82300,65500
Lonsdale West,113900,92000,94200,81000
Maple Ridge,118900,104000,101100,91000
Marpole Remainder,123600,81000,98500,71500
Marpole South,67800,57200,59500,51200
Metrotown,86200,68000,74700,62000
Mount Pleasant,105300,79500,86600,70000
New Westminster East,116000,94000,92500,82000
New Westminster West,130800,112000,110000,98000
Newton,116300,102000,101800,91000
North Delta,125100,111000,108100,98000
North False Creek,120100,81000,92300,70000
North Vancouver DM East,158200,124000,125900,106000
North Vancouver DM West,184600,121000,139400,105000
Pitt Meadows,118400,104000,100100,91000
Point Grey,178800,101000,129400,85000
Port Coquitlam,116000,101000,99000,89000
Port Moody,141800,115000,114600,99000
Renfrew,104900,87000,91000,78000
Richmond City Centre,74100,60000,64500,55200
Richmond East,100300,83000,86600,74000
Richmond South,118400,91000,99800,82000
Richmond West,116500,92000,98000,82000
Riley Park,146600,107000,114100,93000
Sea Island,143000,126000,117000,108000
South Cambie,170800,99000,124900,85000
South False Creek,125300,100000,99400,85000
South Granville,94500,74000,78000,64500
South Surrey,132600,100000,107500,88000
Southeast Burnaby South,103000,86000,87500,76000
Sunset,110800,87000,94000,78000
Surrey City Centre,77200,68000,68100,60800
Tsawwassen,136200,104000,109700,90000
University Endowment Lands,101100,61200,80300,56000
University/Lougheed,116100,88000,95900,78500
Uptown,79300,64000,68000,58000
West End/Stanley Park North,97400,69000,74000,60800
West End/Stanley Park South,90500,62000,72400,54000
Westside Heights,111900,89000,92800,78500
Westside/Kerrisdale Remainder,184600,106000,135000,92000
Whalley,104100,89000,92500,80000
White Rock,109000,73000,88400,65500
Vancouver,117300,90000,96800,79500
