Location,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total
West End/Stanley Park,370,1130,1095,845,620,1615,5680
English Bay,855,1785,1700,1425,1175,2510,9445
Downtown,5515,7785,6615,6080,5460,18885,50345
South Granville/Oak,1900,3640,3810,3630,3070,12320,28370
Kitsilano/Point Grey,2070,3980,3795,3745,3060,13665,30320
Westside/Kerrisdale,2070,3415,3110,2810,2345,13165,26915
Marpole,950,1850,1810,1560,1115,3365,10650
Mount Pleasant/Renfrew Heights,2285,6310,5970,5730,4775,19705,44780
East Hastings,3305,8760,5840,4600,3860,13165,39540
Southeast Vancouver,3455,8430,8070,8155,7010,24720,59845
University Endowment Lands,1715,1015,1015,740,565,2555,7600
Central Park/Metrotown,2325,4045,3780,3090,2630,7420,23290
Southeast Burnaby,1755,4015,3715,3570,3295,12085,28430
North Burnaby,3420,6465,6335,6250,5525,21410,49415
New Westminster,1890,4950,5530,5175,4260,14295,36100
North Vancouver CY,1520,3725,3920,3480,3175,11650,27465
North Vancouver DM,1070,2905,3380,3260,3345,19920,33875
West Vancouver,1185,2650,2465,2165,1840,10445,20745
Richmond,6210,12795,11580,10625,8910,30950,81080
Delta,1145,3800,4250,4415,4355,21030,38995
Surrey,6740,19925,22520,23770,22200,90585,185740
White Rock,640,1880,1750,1565,1160,3745,10735
Langley City and Langley DM,1905,6365,7420,7400,6820,29950,59860
Tri-Cities,4330,9785,11380,11350,10595,46065,93510
Maple Ridge/Pitt Meadows,1275,4410,4535,4645,4545,21175,40585
Vancouver,59895,135830,135375,130095,115715,466405,1043320
